time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_real, y_real, z_real
4.676000, -0.173374, -0.202515, 0.001108, 2.184667, -0.087282, 0.000542, 0.000766, -1.593630, -181.276932, 73.266319, -181.276932, 73.266319, 1.027992
4.709000, -0.159220, -0.183257, 0.000786, 2.190901, -0.079233, 0.000373, 0.000776, -1.595988, -181.281799, 73.193405, -181.281799, 73.193405, 1.027994
4.742000, -0.145571, -0.176555, 0.000501, 2.196912, -0.071525, 0.000211, 0.000782, -1.598129, -181.286514, 73.120308, -181.286514, 73.120308, 1.027996
4.775000, -0.132924, -0.187056, 0.000527, 2.203270, -0.064204, 0.000057, 0.000787, -1.600062, -181.291122, 73.047005, -181.291122, 73.047005, 1.027997
4.808000, -0.120756, -0.195589, 0.000671, 2.209908, -0.057189, -0.000089, 0.000795, -1.601796, -181.295639, 72.973488, -181.295639, 72.973488, 1.027999
4.841000, -0.108836, -0.205078, 0.000840, 2.216856, -0.050458, -0.000228, 0.000805, -1.603336, -181.300018, 72.899734, -181.300018, 72.899734, 1.028001
4.874000, -0.097339, -0.212283, 0.001056, 2.224036, -0.043970, -0.000360, 0.000818, -1.604691, -181.304260, 72.825745, -181.304260, 72.825745, 1.028004
4.907000, -0.085997, -0.211542, 0.001109, 2.231181, -0.037898, -0.000485, 0.000832, -1.605868, -181.308380, 72.751511, -181.308380, 72.751511, 1.028006
4.940000, -0.075184, -0.213647, 0.001117, 2.238388, -0.032140, -0.000601, 0.000846, -1.606875, -181.312363, 72.677032, -181.312363, 72.677032, 1.028009
4.973000, -0.064834, -0.216385, 0.001133, 2.245675, -0.026706, -0.000711, 0.000860, -1.607721, -181.316208, 72.602318, -181.316208, 72.602318, 1.028011
5.006000, -0.054920, -0.217493, 0.001107, 2.252988, -0.021586, -0.000812, 0.000874, -1.608414, -181.319916, 72.527351, -181.319916, 72.527351, 1.028013
5.039000, -0.045389, -0.218756, 0.001074, 2.260332, -0.016776, -0.000905, 0.000887, -1.608962, -181.323517, 72.452141, -181.323517, 72.452141, 1.028015
5.072000, -0.036266, -0.220610, 0.001024, 2.267726, -0.012231, -0.000991, 0.000899, -1.609371, -181.326965, 72.376671, -181.326965, 72.376671, 1.028018
5.105000, -0.027639, -0.223347, 0.001023, 2.275201, -0.007999, -0.001070, 0.000911, -1.609649, -181.330292, 72.300957, -181.330292, 72.300957, 1.028019
5.138000, -0.019322, -0.222588, 0.000946, 2.282640, -0.004036, -0.001142, 0.000922, -1.609805, -181.333466, 72.224983, -181.333466, 72.224983, 1.028021
5.171000, -0.011510, -0.222409, 0.000885, 2.290063, -0.000372, -0.001207, 0.000932, -1.609846, -181.336533, 72.148766, -181.336533, 72.148766, 1.028023
5.204000, -0.003971, -0.221292, 0.000790, 2.297439, 0.003055, -0.001265, 0.000940, -1.609778, -181.339462, 72.072296, -181.339462, 72.072296, 1.028024
